    PID TTY          TIME CMD
   2865 ?        00:00:01 fwupd
   3176 ?        00:00:01 kworker/0:1-events
   3177 ?        00:07:17 java
   3187 ?        00:00:00 kworker/2:4-events
   3395 ?        00:00:00 fsnotifier
   3549 ?        00:00:00 kworker/1:3-events
   3708 ?        00:00:01 kworker/u12:2-events_unbound
   3975 ?        00:00:43 ion.clangd.main
   4188 ?        00:00:00 update-notifier
   4442 ?        00:00:00 kworker/3:0-ata_sff
   4495 ?        00:00:00 kworker/4:1-events
   4522 ?        00:00:00 gnome-terminal-
   4541 pts/0    00:00:00 bash
   4554 ?        00:00:00 kworker/0:2-events
   4559 pts/0    00:00:00 main.o
   4564 pts/0    00:00:00 ps
